"","origin","destination","amount","year"
"1970","Whanganui","Lakes",4,"2006"
"1971","Capital and Coast","Lakes",13,"2006"
"1972","Hutt","Lakes",6,"2006"
"1973","Wairarapa","Lakes",4,"2006"
"1974","Nelson Marlborough","Lakes",3,"2006"
"1975","West Coast","Lakes",1,"2006"
"1976","Canterbury","Lakes",5,"2006"
"1977","South Canterbury","Lakes",0,"2006"
"1978","Otago","Lakes",0,"2006"
"1979","Southland","Lakes",7,"2006"
"1980","Unknown","Lakes",3,"2006"
"1981","Northland","Bay of Plenty",12,"2006"
"1982","Waitemata","Bay of Plenty",24,"2006"
"1983","Auckland","Bay of Plenty",30,"2006"
"1984","Counties Manukau","Bay of Plenty",21,"2006"
"1985","Waikato","Bay of Plenty",120,"2006"
"1986","Lakes","Bay of Plenty",58,"2006"
"1987","Bay of Plenty","Bay of Plenty",4542,"2006"
"1988","Tairawhiti","Bay of Plenty",5,"2006"
"1989","Taranaki","Bay of Plenty",9,"2006"
"1990","Hawkes Bay","Bay of Plenty",14,"2006"
"1991","Mid Central","Bay of Plenty",4,"2006"
"1992","Whanganui","Bay of Plenty",10,"2006"
"1993","Capital and Coast","Bay of Plenty",19,"2006"
"1994","Hutt","Bay of Plenty",5,"2006"
"1995","Wairarapa","Bay of Plenty",1,"2006"
"1996","Nelson Marlborough","Bay of Plenty",1,"2006"
"1997","West Coast","Bay of Plenty",0,"2006"
"1998","Canterbury","Bay of Plenty",10,"2006"
"1999","South Canterbury","Bay of Plenty",2,"2006"
"2000","Otago","Bay of Plenty",11,"2006"
"2001","Southland","Bay of Plenty",7,"2006"
"2002","Unknown","Bay of Plenty",5,"2006"
"2003","Northland","Tairawhiti",3,"2006"
"2004","Waitemata","Tairawhiti",9,"2006"
"2005","Auckland","Tairawhiti",15,"2006"
"2006","Counties Manukau","Tairawhiti",9,"2006"
"2007","Waikato","Tairawhiti",19,"2006"
"2008","Lakes","Tairawhiti",17,"2006"
"2009","Bay of Plenty","Tairawhiti",19,"2006"
"2010","Tairawhiti","Tairawhiti",1517,"2006"
"2011","Taranaki","Tairawhiti",6,"2006"
"2012","Hawkes Bay","Tairawhiti",56,"2006"
"2013","Mid Central","Tairawhiti",12,"2006"
"2014","Whanganui","Tairawhiti",4,"2006"
"2015","Capital and Coast","Tairawhiti",28,"2006"
"2016","Hutt","Tairawhiti",10,"2006"
"2017","Wairarapa","Tairawhiti",2,"2006"
"2018","Nelson Marlborough","Tairawhiti",1,"2006"
"2019","West Coast","Tairawhiti",0,"2006"
"2020","Canterbury","Tairawhiti",2,"2006"
"2021","South Canterbury","Tairawhiti",0,"2006"
"2022","Otago","Tairawhiti",6,"2006"
"2023","Southland","Tairawhiti",1,"2006"
"2024","Unknown","Tairawhiti",1,"2006"
"2025","Northland","Taranaki",8,"2006"
"2026","Waitemata","Taranaki",14,"2006"
"2027","Auckland","Taranaki",12,"2006"
"2028","Counties Manukau","Taranaki",6,"2006"
"2029","Waikato","Taranaki",28,"2006"
"2030","Lakes","Taranaki",7,"2006"
"2031","Bay of Plenty","Taranaki",16,"2006"
"2032","Tairawhiti","Taranaki",1,"2006"
"2033","Taranaki","Taranaki",3554,"2006"
"2034","Hawkes Bay","Taranaki",12,"2006"
"2035","Mid Central","Taranaki",19,"2006"
"2036","Whanganui","Taranaki",12,"2006"
"2037","Capital and Coast","Taranaki",15,"2006"
"2038","Hutt","Taranaki",8,"2006"
"2039","Wairarapa","Taranaki",4,"2006"
"2040","Nelson Marlborough","Taranaki",3,"2006"
"2041","West Coast","Taranaki",1,"2006"
"2042","Canterbury","Taranaki",5,"2006"
"2043","South Canterbury","Taranaki",1,"2006"
"2044","Otago","Taranaki",1,"2006"
"2045","Southland","Taranaki",3,"2006"
"2046","Unknown","Taranaki",3,"2006"
"2047","Northland","Hawke's Bay",5,"2006"
"2048","Waitemata","Hawke's Bay",6,"2006"
"2049","Auckland","Hawke's Bay",16,"2006"
"2050","Counties Manukau","Hawke's Bay",9,"2006"
"2051","Waikato","Hawke's Bay",21,"2006"
"2052","Lakes","Hawke's Bay",10,"2006"
"2053","Bay of Plenty","Hawke's Bay",31,"2006"
"2054","Tairawhiti","Hawke's Bay",8,"2006"
"2055","Taranaki","Hawke's Bay",5,"2006"
"2056","Hawkes Bay","Hawke's Bay",2500,"2006"
"2057","Mid Central","Hawke's Bay",29,"2006"
"2058","Whanganui","Hawke's Bay",10,"2006"
"2059","Capital and Coast","Hawke's Bay",33,"2006"
"2060","Hutt","Hawke's Bay",15,"2006"
"2061","Wairarapa","Hawke's Bay",6,"2006"
"2062","Nelson Marlborough","Hawke's Bay",6,"2006"
"2063","West Coast","Hawke's Bay",0,"2006"
"2064","Canterbury","Hawke's Bay",3,"2006"
"2065","South Canterbury","Hawke's Bay",0,"2006"
"2066","Otago","Hawke's Bay",2,"2006"
"2067","Southland","Hawke's Bay",0,"2006"
"2068","Unknown","Hawke's Bay",3,"2006"
"2069","Northland","MidCentral",14,"2006"
"2070","Waitemata","MidCentral",26,"2006"
"2071","Auckland","MidCentral",22,"2006"
"2072","Counties Manukau","MidCentral",21,"2006"
"2073","Waikato","MidCentral",28,"2006"
"2074","Lakes","MidCentral",20,"2006"
"2075","Bay of Plenty","MidCentral",31,"2006"
"2076","Tairawhiti","MidCentral",6,"2006"
"2077","Taranaki","MidCentral",36,"2006"
"2078","Hawkes Bay","MidCentral",81,"2006"
"2079","Mid Central","MidCentral",2864,"2006"
"2080","Whanganui","MidCentral",84,"2006"
"2081","Capital and Coast","MidCentral",127,"2006"
"2082","Hutt","MidCentral",27,"2006"
"2083","Wairarapa","MidCentral",36,"2006"
"2084","Nelson Marlborough","MidCentral",12,"2006"
"2085","West Coast","MidCentral",0,"2006"
"2086","Canterbury","MidCentral",25,"2006"
"2087","South Canterbury","MidCentral",2,"2006"
"2088","Otago","MidCentral",10,"2006"
"2089","Southland","MidCentral",8,"2006"
"2090","Unknown","MidCentral",5,"2006"
"2091","Northland","Whanganui",8,"2006"
"2092","Waitemata","Whanganui",11,"2006"
"2093","Auckland","Whanganui",10,"2006"
"2094","Counties Manukau","Whanganui",5,"2006"
"2095","Waikato","Whanganui",14,"2006"
"2096","Lakes","Whanganui",8,"2006"
"2097","Bay of Plenty","Whanganui",16,"2006"
"2098","Tairawhiti","Whanganui",0,"2006"
"2099","Taranaki","Whanganui",43,"2006"
"2100","Hawkes Bay","Whanganui",17,"2006"
"2101","Mid Central","Whanganui",50,"2006"
"2102","Whanganui","Whanganui",2006,"2006"
"2103","Capital and Coast","Whanganui",29,"2006"
"2104","Hutt","Whanganui",13,"2006"
"2105","Wairarapa","Whanganui",3,"2006"
"2106","Nelson Marlborough","Whanganui",5,"2006"
"2107","West Coast","Whanganui",3,"2006"
"2108","Canterbury","Whanganui",7,"2006"
"2109","South Canterbury","Whanganui",0,"2006"
"2110","Otago","Whanganui",6,"2006"
"2111","Southland","Whanganui",2,"2006"
"2112","Unknown","Whanganui",2,"2006"
"2113","Northland","Capital and Coast",15,"2006"
"2114","Waitemata","Capital and Coast",44,"2006"
"2115","Auckland","Capital and Coast",64,"2006"
"2116","Counties Manukau","Capital and Coast",24,"2006"
"2117","Waikato","Capital and Coast",42,"2006"
"2118","Lakes","Capital and Coast",23,"2006"
"2119","Bay of Plenty","Capital and Coast",39,"2006"
"2120","Tairawhiti","Capital and Coast",45,"2006"
"2121","Taranaki","Capital and Coast",41,"2006"
"2122","Hawkes Bay","Capital and Coast",251,"2006"
"2123","Mid Central","Capital and Coast",352,"2006"
"2124","Whanganui","Capital and Coast",131,"2006"
"2125","Capital and Coast","Capital and Coast",4676,"2006"
"2126","Hutt","Capital and Coast",583,"2006"
"2127","Wairarapa","Capital and Coast",106,"2006"
"2128","Nelson Marlborough","Capital and Coast",23,"2006"
"2129","West Coast","Capital and Coast",6,"2006"
"2130","Canterbury","Capital and Coast",27,"2006"
"2131","South Canterbury","Capital and Coast",16,"2006"
"2132","Otago","Capital and Coast",19,"2006"
"2133","Southland","Capital and Coast",3,"2006"
"2134","Unknown","Capital and Coast",17,"2006"
"2135","Northland","Hutt Valley",0,"2006"
"2136","Waitemata","Hutt Valley",5,"2006"
"2137","Auckland","Hutt Valley",3,"2006"
"2138","Counties Manukau","Hutt Valley",2,"2006"
"2139","Waikato","Hutt Valley",2,"2006"
"2140","Lakes","Hutt Valley",4,"2006"
"2141","Bay of Plenty","Hutt Valley",7,"2006"
"2142","Tairawhiti","Hutt Valley",4,"2006"
"2143","Taranaki","Hutt Valley",5,"2006"
"2144","Hawkes Bay","Hutt Valley",11,"2006"
"2145","Mid Central","Hutt Valley",12,"2006"
"2146","Whanganui","Hutt Valley",3,"2006"
"2147","Capital and Coast","Hutt Valley",144,"2006"
"2148","Hutt","Hutt Valley",2785,"2006"
"2149","Wairarapa","Hutt Valley",24,"2006"
"2150","Nelson Marlborough","Hutt Valley",3,"2006"
"2151","West Coast","Hutt Valley",1,"2006"
"2152","Canterbury","Hutt Valley",4,"2006"
"2153","South Canterbury","Hutt Valley",0,"2006"
"2154","Otago","Hutt Valley",2,"2006"
"2155","Southland","Hutt Valley",0,"2006"
"2156","Unknown","Hutt Valley",3,"2006"
"2157","Northland","Wairarapa",2,"2006"
"2158","Waitemata","Wairarapa",0,"2006"
"2159","Auckland","Wairarapa",2,"2006"
"2160","Counties Manukau","Wairarapa",2,"2006"
"2161","Waikato","Wairarapa",1,"2006"
"2162","Lakes","Wairarapa",2,"2006"
"2163","Bay of Plenty","Wairarapa",2,"2006"
"2164","Tairawhiti","Wairarapa",1,"2006"
"2165","Taranaki","Wairarapa",3,"2006"
"2166","Hawkes Bay","Wairarapa",5,"2006"
"2167","Mid Central","Wairarapa",18,"2006"
"2168","Whanganui","Wairarapa",7,"2006"
"2169","Capital and Coast","Wairarapa",25,"2006"
"2170","Hutt","Wairarapa",10,"2006"
"2171","Wairarapa","Wairarapa",648,"2006"
"2172","Nelson Marlborough","Wairarapa",2,"2006"
"2173","West Coast","Wairarapa",0,"2006"
"2174","Canterbury","Wairarapa",1,"2006"
"2175","South Canterbury","Wairarapa",1,"2006"
"2176","Otago","Wairarapa",0,"2006"
"2177","Southland","Wairarapa",1,"2006"
"2178","Unknown","Wairarapa",1,"2006"
"2179","Northland","Nelson Marlborough",5,"2006"
"2180","Waitemata","Nelson Marlborough",17,"2006"
"2181","Auckland","Nelson Marlborough",25,"2006"
"2182","Counties Manukau","Nelson Marlborough",5,"2006"
"2183","Waikato","Nelson Marlborough",17,"2006"
"2184","Lakes","Nelson Marlborough",12,"2006"
"2185","Bay of Plenty","Nelson Marlborough",10,"2006"
"2186","Tairawhiti","Nelson Marlborough",1,"2006"
"2187","Taranaki","Nelson Marlborough",13,"2006"
"2188","Hawkes Bay","Nelson Marlborough",18,"2006"
"2189","Mid Central","Nelson Marlborough",10,"2006"
"2190","Whanganui","Nelson Marlborough",3,"2006"
"2191","Capital and Coast","Nelson Marlborough",45,"2006"
"2192","Hutt","Nelson Marlborough",12,"2006"
"2193","Wairarapa","Nelson Marlborough",4,"2006"
"2194","Nelson Marlborough","Nelson Marlborough",3818,"2006"
"2195","West Coast","Nelson Marlborough",39,"2006"
"2196","Canterbury","Nelson Marlborough",123,"2006"
"2197","South Canterbury","Nelson Marlborough",15,"2006"
"2198","Otago","Nelson Marlborough",32,"2006"
"2199","Southland","Nelson Marlborough",21,"2006"
"2200","Unknown","Nelson Marlborough",9,"2006"
"2201","Northland","West Coast",4,"2006"
"2202","Waitemata","West Coast",8,"2006"
"2203","Auckland","West Coast",3,"2006"
"2204","Counties Manukau","West Coast",1,"2006"
"2205","Waikato","West Coast",5,"2006"
"2206","Lakes","West Coast",1,"2006"
"2207","Bay of Plenty","West Coast",0,"2006"
"2208","Tairawhiti","West Coast",1,"2006"
"2209","Taranaki","West Coast",4,"2006"
"2210","Hawkes Bay","West Coast",4,"2006"
"2211","Mid Central","West Coast",0,"2006"
"2212","Whanganui","West Coast",2,"2006"
"2213","Capital and Coast","West Coast",8,"2006"
"2214","Hutt","West Coast",3,"2006"
"2215","Wairarapa","West Coast",1,"2006"
"2216","Nelson Marlborough","West Coast",27,"2006"
"2217","West Coast","West Coast",1238,"2006"
"2218","Canterbury","West Coast",38,"2006"
"2219","South Canterbury","West Coast",2,"2006"
"2220","Otago","West Coast",13,"2006"
"2221","Southland","West Coast",8,"2006"
"2222","Unknown","West Coast",14,"2006"
"2223","Northland","Canterbury",17,"2006"
"2224","Waitemata","Canterbury",39,"2006"
"2225","Auckland","Canterbury",54,"2006"
"2226","Counties Manukau","Canterbury",28,"2006"
"2227","Waikato","Canterbury",40,"2006"
"2228","Lakes","Canterbury",15,"2006"
"2229","Bay of Plenty","Canterbury",24,"2006"
"2230","Tairawhiti","Canterbury",7,"2006"
"2231","Taranaki","Canterbury",17,"2006"
"2232","Hawkes Bay","Canterbury",29,"2006"
"2233","Mid Central","Canterbury",20,"2006"
"2234","Whanganui","Canterbury",10,"2006"
"2235","Capital and Coast","Canterbury",74,"2006"
"2236","Hutt","Canterbury",19,"2006"
"2237","Wairarapa","Canterbury",5,"2006"
"2238","Nelson Marlborough","Canterbury",193,"2006"
"2239","West Coast","Canterbury",115,"2006"
"2240","Canterbury","Canterbury",8959,"2006"
"2241","South Canterbury","Canterbury",136,"2006"
"2242","Otago","Canterbury",190,"2006"
"2243","Southland","Canterbury",99,"2006"
"2244","Unknown","Canterbury",63,"2006"
"2245","Northland","South Canterbury",4,"2006"
"2246","Waitemata","South Canterbury",3,"2006"
"2247","Auckland","South Canterbury",0,"2006"
"2248","Counties Manukau","South Canterbury",3,"2006"
"2249","Waikato","South Canterbury",4,"2006"
"2250","Lakes","South Canterbury",1,"2006"
"2251","Bay of Plenty","South Canterbury",3,"2006"
"2252","Tairawhiti","South Canterbury",1,"2006"
"2253","Taranaki","South Canterbury",1,"2006"
"2254","Hawkes Bay","South Canterbury",1,"2006"
"2255","Mid Central","South Canterbury",5,"2006"
"2256","Whanganui","South Canterbury",2,"2006"
"2257","Capital and Coast","South Canterbury",3,"2006"
"2258","Hutt","South Canterbury",1,"2006"
"2259","Wairarapa","South Canterbury",2,"2006"
"2260","Nelson Marlborough","South Canterbury",10,"2006"
"2261","West Coast","South Canterbury",3,"2006"
"2262","Canterbury","South Canterbury",104,"2006"
"2263","South Canterbury","South Canterbury",761,"2006"
"2264","Otago","South Canterbury",35,"2006"
"2265","Southland","South Canterbury",9,"2006"
"2266","Unknown","South Canterbury",4,"2006"
"2267","Northland","Otago",14,"2006"
"2268","Waitemata","Otago",25,"2006"
"2269","Auckland","Otago",21,"2006"
"2270","Counties Manukau","Otago",8,"2006"
"2271","Waikato","Otago",10,"2006"
"2272","Lakes","Otago",9,"2006"
"2273","Bay of Plenty","Otago",14,"2006"
"2274","Tairawhiti","Otago",2,"2006"
"2275","Taranaki","Otago",11,"2006"
"2276","Hawkes Bay","Otago",7,"2006"
"2277","Mid Central","Otago",5,"2006"
"2278","Whanganui","Otago",2,"2006"
"2279","Capital and Coast","Otago",30,"2006"
"2280","Hutt","Otago",8,"2006"
"2281","Wairarapa","Otago",0,"2006"
"2282","Nelson Marlborough","Otago",28,"2006"
"2283","West Coast","Otago",14,"2006"
"2284","Canterbury","Otago",91,"2006"
"2285","South Canterbury","Otago",28,"2006"
"2286","Otago","Otago",5344,"2006"
"2287","Southland","Otago",155,"2006"
"2288","Unknown","Otago",10,"2006"
"2289","Northland","Southland",5,"2006"
"2290","Waitemata","Southland",15,"2006"
"2291","Auckland","Southland",13,"2006"
"2292","Counties Manukau","Southland",7,"2006"
"2293","Waikato","Southland",16,"2006"
"2294","Lakes","Southland",4,"2006"
"2295","Bay of Plenty","Southland",12,"2006"
"2296","Tairawhiti","Southland",1,"2006"
"2297","Taranaki","Southland",8,"2006"
"2298","Hawkes Bay","Southland",10,"2006"
"2299","Mid Central","Southland",13,"2006"
"2300","Whanganui","Southland",5,"2006"
"2301","Capital and Coast","Southland",12,"2006"
"2302","Hutt","Southland",3,"2006"
"2303","Wairarapa","Southland",4,"2006"
"2304","Nelson Marlborough","Southland",20,"2006"
"2305","West Coast","Southland",8,"2006"
"2306","Canterbury","Southland",81,"2006"
"2307","South Canterbury","Southland",11,"2006"
"2308","Otago","Southland",201,"2006"
"2309","Southland","Southland",2687,"2006"
"2310","Unknown","Southland",7,"2006"
"2311","Northland","Northland",3540,"2007"
"2312","Waitemata","Northland",122,"2007"
"2313","Auckland","Northland",82,"2007"
"2314","Counties Manukau","Northland",60,"2007"
"2315","Waikato","Northland",35,"2007"
"2316","Lakes","Northland",8,"2007"
"2317","Bay of Plenty","Northland",21,"2007"
"2318","Tairawhiti","Northland",0,"2007"
"2319","Taranaki","Northland",13,"2007"
"2320","Hawkes Bay","Northland",10,"2007"
"2321","Mid Central","Northland",4,"2007"
"2322","Whanganui","Northland",2,"2007"
"2323","Capital and Coast","Northland",166,"2007"
"2324","Hutt","Northland",1,"2007"
"2325","Wairarapa","Northland",1,"2007"
"2326","Nelson Marlborough","Northland",2,"2007"
"2327","West Coast","Northland",2,"2007"
"2328","Canterbury","Northland",3,"2007"
"2329","South Canterbury","Northland",2,"2007"
"2330","Otago","Northland",2,"2007"
"2331","Southland","Northland",0,"2007"
"2332","Unknown","Northland",8,"2007"
"2333","Northland","Waitemata",289,"2007"
"2334","Waitemata","Waitemata",11690,"2007"
"2335","Auckland","Waitemata",3914,"2007"
"2336","Counties Manukau","Waitemata",2981,"2007"
"2337","Waikato","Waitemata",146,"2007"
"2338","Lakes","Waitemata",134,"2007"
"2339","Bay of Plenty","Waitemata",50,"2007"
"2340","Tairawhiti","Waitemata",7,"2007"
"2341","Taranaki","Waitemata",27,"2007"
"2342","Hawkes Bay","Waitemata",26,"2007"
"2343","Mid Central","Waitemata",23,"2007"
"2344","Whanganui","Waitemata",11,"2007"
"2345","Capital and Coast","Waitemata",27,"2007"
"2346","Hutt","Waitemata",19,"2007"
"2347","Wairarapa","Waitemata",6,"2007"
"2348","Nelson Marlborough","Waitemata",9,"2007"
"2349","West Coast","Waitemata",2,"2007"
"2350","Canterbury","Waitemata",42,"2007"
"2351","South Canterbury","Waitemata",7,"2007"
"2352","Otago","Waitemata",18,"2007"
"2353","Southland","Waitemata",15,"2007"
"2354","Unknown","Waitemata",156,"2007"
"2355","Northland","Auckland",76,"2007"
"2356","Waitemata","Auckland",678,"2007"
"2357","Auckland","Auckland",6543,"2007"
"2358","Counties Manukau","Auckland",321,"2007"
"2359","Waikato","Auckland",91,"2007"
"2360","Lakes","Auckland",20,"2007"
"2361","Bay of Plenty","Auckland",44,"2007"
"2362","Tairawhiti","Auckland",6,"2007"
"2363","Taranaki","Auckland",19,"2007"
"2364","Hawkes Bay","Auckland",11,"2007"
"2365","Mid Central","Auckland",8,"2007"
"2366","Whanganui","Auckland",3,"2007"
"2367","Capital and Coast","Auckland",25,"2007"
"2368","Hutt","Auckland",11,"2007"
"2369","Wairarapa","Auckland",1,"2007"
"2370","Nelson Marlborough","Auckland",5,"2007"
"2371","West Coast","Auckland",4,"2007"
"2372","Canterbury","Auckland",21,"2007"
"2373","South Canterbury","Auckland",0,"2007"
"2374","Otago","Auckland",7,"2007"
"2375","Southland","Auckland",2,"2007"
"2376","Unknown","Auckland",18,"2007"
"2377","Northland","Counties Manukau",113,"2007"
"2378","Waitemata","Counties Manukau",287,"2007"
"2379","Auckland","Counties Manukau",773,"2007"
"2380","Counties Manukau","Counties Manukau",7584,"2007"
"2381","Waikato","Counties Manukau",126,"2007"
"2382","Lakes","Counties Manukau",31,"2007"
"2383","Bay of Plenty","Counties Manukau",46,"2007"
"2384","Tairawhiti","Counties Manukau",7,"2007"
"2385","Taranaki","Counties Manukau",37,"2007"
"2386","Hawkes Bay","Counties Manukau",17,"2007"
"2387","Mid Central","Counties Manukau",20,"2007"
"2388","Whanganui","Counties Manukau",8,"2007"
"2389","Capital and Coast","Counties Manukau",22,"2007"
"2390","Hutt","Counties Manukau",14,"2007"
"2391","Wairarapa","Counties Manukau",1,"2007"
"2392","Nelson Marlborough","Counties Manukau",7,"2007"
"2393","West Coast","Counties Manukau",2,"2007"
"2394","Canterbury","Counties Manukau",18,"2007"
"2395","South Canterbury","Counties Manukau",3,"2007"
"2396","Otago","Counties Manukau",10,"2007"
"2397","Southland","Counties Manukau",6,"2007"
"2398","Unknown","Counties Manukau",30,"2007"
"2399","Northland","Waikato",32,"2007"
"2400","Waitemata","Waikato",42,"2007"
"2401","Auckland","Waikato",62,"2007"
"2402","Counties Manukau","Waikato",69,"2007"
"2403","Waikato","Waikato",7194,"2007"
"2404","Lakes","Waikato",129,"2007"
"2405","Bay of Plenty","Waikato",200,"2007"
"2406","Tairawhiti","Waikato",11,"2007"
"2407","Taranaki","Waikato",76,"2007"
"2408","Hawkes Bay","Waikato",27,"2007"
"2409","Mid Central","Waikato",14,"2007"
"2410","Whanganui","Waikato",9,"2007"
"2411","Capital and Coast","Waikato",15,"2007"
"2412","Hutt","Waikato",10,"2007"
"2413","Wairarapa","Waikato",1,"2007"
"2414","Nelson Marlborough","Waikato",14,"2007"
"2415","West Coast","Waikato",0,"2007"
"2416","Canterbury","Waikato",11,"2007"
"2417","South Canterbury","Waikato",4,"2007"
"2418","Otago","Waikato",6,"2007"
"2419","Southland","Waikato",10,"2007"
"2420","Unknown","Waikato",4,"2007"
"2421","Northland","Lakes",11,"2007"
"2422","Waitemata","Lakes",18,"2007"
"2423","Auckland","Lakes",20,"2007"
"2424","Counties Manukau","Lakes",21,"2007"
"2425","Waikato","Lakes",79,"2007"
"2426","Lakes","Lakes",2357,"2007"
"2427","Bay of Plenty","Lakes",93,"2007"
"2428","Tairawhiti","Lakes",8,"2007"
"2429","Taranaki","Lakes",11,"2007"
"2430","Hawkes Bay","Lakes",20,"2007"
"2431","Mid Central","Lakes",16,"2007"
"2432","Whanganui","Lakes",10,"2007"
"2433","Capital and Coast","Lakes",11,"2007"
"2434","Hutt","Lakes",11,"2007"
"2435","Wairarapa","Lakes",2,"2007"
"2436","Nelson Marlborough","Lakes",3,"2007"
"2437","West Coast","Lakes",0,"2007"
"2438","Canterbury","Lakes",4,"2007"
"2439","South Canterbury","Lakes",1,"2007"
"2440","Otago","Lakes",2,"2007"
"2441","Southland","Lakes",4,"2007"
"2442","Unknown","Lakes",5,"2007"
"2443","Northland","Bay of Plenty",18,"2007"
"2444","Waitemata","Bay of Plenty",26,"2007"
"2445","Auckland","Bay of Plenty",27,"2007"
"2446","Counties Manukau","Bay of Plenty",25,"2007"
"2447","Waikato","Bay of Plenty",128,"2007"
"2448","Lakes","Bay of Plenty",65,"2007"
"2449","Bay of Plenty","Bay of Plenty",5282,"2007"
"2450","Tairawhiti","Bay of Plenty",9,"2007"
"2451","Taranaki","Bay of Plenty",7,"2007"
"2452","Hawkes Bay","Bay of Plenty",20,"2007"
"2453","Mid Central","Bay of Plenty",10,"2007"
"2454","Whanganui","Bay of Plenty",11,"2007"
"2455","Capital and Coast","Bay of Plenty",14,"2007"
"2456","Hutt","Bay of Plenty",9,"2007"
"2457","Wairarapa","Bay of Plenty",4,"2007"
"2458","Nelson Marlborough","Bay of Plenty",9,"2007"
"2459","West Coast","Bay of Plenty",1,"2007"
"2460","Canterbury","Bay of Plenty",14,"2007"
"2461","South Canterbury","Bay of Plenty",8,"2007"
"2462","Otago","Bay of Plenty",12,"2007"
"2463","Southland","Bay of Plenty",5,"2007"
"2464","Unknown","Bay of Plenty",15,"2007"
"2465","Northland","Tairawhiti",7,"2007"
"2466","Waitemata","Tairawhiti",11,"2007"
"2467","Auckland","Tairawhiti",12,"2007"
"2468","Counties Manukau","Tairawhiti",13,"2007"
"2469","Waikato","Tairawhiti",24,"2007"
"2470","Lakes","Tairawhiti",10,"2007"
"2471","Bay of Plenty","Tairawhiti",25,"2007"
"2472","Tairawhiti","Tairawhiti",1635,"2007"
"2473","Taranaki","Tairawhiti",5,"2007"
"2474","Hawkes Bay","Tairawhiti",62,"2007"
"2475","Mid Central","Tairawhiti",12,"2007"
"2476","Whanganui","Tairawhiti",3,"2007"
"2477","Capital and Coast","Tairawhiti",24,"2007"
"2478","Hutt","Tairawhiti",14,"2007"
"2479","Wairarapa","Tairawhiti",2,"2007"
"2480","Nelson Marlborough","Tairawhiti",3,"2007"
"2481","West Coast","Tairawhiti",1,"2007"
"2482","Canterbury","Tairawhiti",6,"2007"
"2483","South Canterbury","Tairawhiti",0,"2007"
"2484","Otago","Tairawhiti",2,"2007"
"2485","Southland","Tairawhiti",1,"2007"
"2486","Unknown","Tairawhiti",0,"2007"
"2487","Northland","Taranaki",1,"2007"
"2488","Waitemata","Taranaki",7,"2007"
"2489","Auckland","Taranaki",12,"2007"
"2490","Counties Manukau","Taranaki",6,"2007"
"2491","Waikato","Taranaki",26,"2007"
"2492","Lakes","Taranaki",9,"2007"
"2493","Bay of Plenty","Taranaki",7,"2007"
"2494","Tairawhiti","Taranaki",1,"2007"
"2495","Taranaki","Taranaki",3277,"2007"
"2496","Hawkes Bay","Taranaki",6,"2007"
"2497","Mid Central","Taranaki",22,"2007"
"2498","Whanganui","Taranaki",17,"2007"
"2499","Capital and Coast","Taranaki",11,"2007"
"2500","Hutt","Taranaki",6,"2007"
"2501","Wairarapa","Taranaki",1,"2007"
"2502","Nelson Marlborough","Taranaki",6,"2007"
"2503","West Coast","Taranaki",1,"2007"
"2504","Canterbury","Taranaki",6,"2007"
"2505","South Canterbury","Taranaki",0,"2007"
"2506","Otago","Taranaki",2,"2007"
"2507","Southland","Taranaki",4,"2007"
"2508","Unknown","Taranaki",4,"2007"
"2509","Northland","Hawke's Bay",5,"2007"
"2510","Waitemata","Hawke's Bay",2,"2007"
"2511","Auckland","Hawke's Bay",10,"2007"
"2512","Counties Manukau","Hawke's Bay",10,"2007"
"2513","Waikato","Hawke's Bay",18,"2007"
"2514","Lakes","Hawke's Bay",8,"2007"
"2515","Bay of Plenty","Hawke's Bay",16,"2007"
"2516","Tairawhiti","Hawke's Bay",14,"2007"
"2517","Taranaki","Hawke's Bay",7,"2007"
"2518","Hawkes Bay","Hawke's Bay",2775,"2007"
"2519","Mid Central","Hawke's Bay",26,"2007"
"2520","Whanganui","Hawke's Bay",9,"2007"
"2521","Capital and Coast","Hawke's Bay",16,"2007"
"2522","Hutt","Hawke's Bay",13,"2007"
"2523","Wairarapa","Hawke's Bay",4,"2007"
"2524","Nelson Marlborough","Hawke's Bay",6,"2007"
"2525","West Coast","Hawke's Bay",1,"2007"
"2526","Canterbury","Hawke's Bay",5,"2007"
"2527","South Canterbury","Hawke's Bay",0,"2007"
"2528","Otago","Hawke's Bay",2,"2007"
"2529","Southland","Hawke's Bay",1,"2007"
"2530","Unknown","Hawke's Bay",4,"2007"
"2531","Northland","MidCentral",5,"2007"
"2532","Waitemata","MidCentral",21,"2007"
"2533","Auckland","MidCentral",18,"2007"
"2534","Counties Manukau","MidCentral",14,"2007"
"2535","Waikato","MidCentral",27,"2007"
"2536","Lakes","MidCentral",19,"2007"
"2537","Bay of Plenty","MidCentral",21,"2007"
"2538","Tairawhiti","MidCentral",6,"2007"
"2539","Taranaki","MidCentral",28,"2007"
"2540","Hawkes Bay","MidCentral",75,"2007"
"2541","Mid Central","MidCentral",2844,"2007"
"2542","Whanganui","MidCentral",81,"2007"
"2543","Capital and Coast","MidCentral",130,"2007"
"2544","Hutt","MidCentral",29,"2007"
"2545","Wairarapa","MidCentral",35,"2007"
"2546","Nelson Marlborough","MidCentral",13,"2007"
"2547","West Coast","MidCentral",1,"2007"
"2548","Canterbury","MidCentral",20,"2007"
"2549","South Canterbury","MidCentral",0,"2007"
"2550","Otago","MidCentral",9,"2007"
"2551","Southland","MidCentral",5,"2007"
"2552","Unknown","MidCentral",7,"2007"
