"","origin","destination","amount","year"
"128","Canterbury","Lakes",7,"2002"
"129","South Canterbury","Lakes",2,"2002"
"130","Otago","Lakes",0,"2002"
"131","Southland","Lakes",4,"2002"
"132","Unknown","Lakes",5,"2002"
"133","Northland","Bay of Plenty",11,"2002"
"134","Waitemata","Bay of Plenty",36,"2002"
"135","Auckland","Bay of Plenty",35,"2002"
"136","Counties Manukau","Bay of Plenty",29,"2002"
"137","Waikato","Bay of Plenty",113,"2002"
"138","Lakes","Bay of Plenty",66,"2002"
"139","Bay of Plenty","Bay of Plenty",5167,"2002"
"140","Tairawhiti","Bay of Plenty",11,"2002"
"141","Taranaki","Bay of Plenty",10,"2002"
"142","Hawkes Bay","Bay of Plenty",28,"2002"
"143","Mid Central","Bay of Plenty",8,"2002"
"144","Whanganui","Bay of Plenty",12,"2002"
"145","Capital and Coast","Bay of Plenty",24,"2002"
"146","Hutt","Bay of Plenty",12,"2002"
"147","Wairarapa","Bay of Plenty",0,"2002"
"148","Nelson Marlborough","Bay of Plenty",5,"2002"
"149","West Coast","Bay of Plenty",3,"2002"
"150","Canterbury","Bay of Plenty",8,"2002"
"151","South Canterbury","Bay of Plenty",0,"2002"
"152","Otago","Bay of Plenty",10,"2002"
"153","Southland","Bay of Plenty",7,"2002"
"154","Unknown","Bay of Plenty",2,"2002"
"155","Northland","Tairawhiti",7,"2002"
"156","Waitemata","Tairawhiti",17,"2002"
"157","Auckland","Tairawhiti",20,"2002"
"158","Counties Manukau","Tairawhiti",12,"2002"
"159","Waikato","Tairawhiti",21,"2002"
"160","Lakes","Tairawhiti",14,"2002"
"161","Bay of Plenty","Tairawhiti",30,"2002"
"162","Tairawhiti","Tairawhiti",969,"2002"
"163","Taranaki","Tairawhiti",4,"2002"
"164","Hawkes Bay","Tairawhiti",60,"2002"
"165","Mid Central","Tairawhiti",7,"2002"
"166","Whanganui","Tairawhiti",5,"2002"
"167","Capital and Coast","Tairawhiti",27,"2002"
"168","Hutt","Tairawhiti",17,"2002"
"169","Wairarapa","Tairawhiti",3,"2002"
"170","Nelson Marlborough","Tairawhiti",1,"2002"
"171","West Coast","Tairawhiti",0,"2002"
"172","Canterbury","Tairawhiti",9,"2002"
"173","South Canterbury","Tairawhiti",0,"2002"
"174","Otago","Tairawhiti",6,"2002"
"175","Southland","Tairawhiti",5,"2002"
"176","Unknown","Tairawhiti",0,"2002"
"177","Northland","Taranaki",4,"2002"
"178","Waitemata","Taranaki",14,"2002"
"179","Auckland","Taranaki",16,"2002"
"180","Counties Manukau","Taranaki",17,"2002"
"181","Waikato","Taranaki",33,"2002"
"182","Lakes","Taranaki",2,"2002"
"183","Bay of Plenty","Taranaki",11,"2002"
"184","Tairawhiti","Taranaki",1,"2002"
"185","Taranaki","Taranaki",3355,"2002"
"186","Hawkes Bay","Taranaki",17,"2002"
"187","Mid Central","Taranaki",15,"2002"
"188","Whanganui","Taranaki",17,"2002"
"189","Capital and Coast","Taranaki",23,"2002"
"190","Hutt","Taranaki",10,"2002"
"191","Wairarapa","Taranaki",3,"2002"
"192","Nelson Marlborough","Taranaki",6,"2002"
"193","West Coast","Taranaki",1,"2002"
"194","Canterbury","Taranaki",8,"2002"
"195","South Canterbury","Taranaki",0,"2002"
"196","Otago","Taranaki",6,"2002"
"197","Southland","Taranaki",1,"2002"
"198","Unknown","Taranaki",7,"2002"
"199","Northland","Hawke's Bay",9,"2002"
"200","Waitemata","Hawke's Bay",15,"2002"
"201","Auckland","Hawke's Bay",16,"2002"
"202","Counties Manukau","Hawke's Bay",9,"2002"
"203","Waikato","Hawke's Bay",25,"2002"
"204","Lakes","Hawke's Bay",15,"2002"
"205","Bay of Plenty","Hawke's Bay",28,"2002"
"206","Tairawhiti","Hawke's Bay",23,"2002"
"207","Taranaki","Hawke's Bay",7,"2002"
"208","Hawkes Bay","Hawke's Bay",3488,"2002"
"209","Mid Central","Hawke's Bay",28,"2002"
"210","Whanganui","Hawke's Bay",20,"2002"
"211","Capital and Coast","Hawke's Bay",37,"2002"
"212","Hutt","Hawke's Bay",26,"2002"
"213","Wairarapa","Hawke's Bay",4,"2002"
"214","Nelson Marlborough","Hawke's Bay",7,"2002"
"215","West Coast","Hawke's Bay",0,"2002"
"216","Canterbury","Hawke's Bay",7,"2002"
"217","South Canterbury","Hawke's Bay",1,"2002"
"218","Otago","Hawke's Bay",5,"2002"
"219","Southland","Hawke's Bay",2,"2002"
"220","Unknown","Hawke's Bay",7,"2002"
"221","Northland","MidCentral",14,"2002"
"222","Waitemata","MidCentral",27,"2002"
"223","Auckland","MidCentral",25,"2002"
"224","Counties Manukau","MidCentral",28,"2002"
"225","Waikato","MidCentral",45,"2002"
"226","Lakes","MidCentral",26,"2002"
"227","Bay of Plenty","MidCentral",40,"2002"
"228","Tairawhiti","MidCentral",9,"2002"
"229","Taranaki","MidCentral",37,"2002"
"230","Hawkes Bay","MidCentral",113,"2002"
"231","Mid Central","MidCentral",3213,"2002"
"232","Whanganui","MidCentral",121,"2002"
"233","Capital and Coast","MidCentral",186,"2002"
"234","Hutt","MidCentral",61,"2002"
"235","Wairarapa","MidCentral",29,"2002"
"236","Nelson Marlborough","MidCentral",13,"2002"
"237","West Coast","MidCentral",1,"2002"
"238","Canterbury","MidCentral",24,"2002"
"239","South Canterbury","MidCentral",1,"2002"
"240","Otago","MidCentral",13,"2002"
"241","Southland","MidCentral",8,"2002"
"242","Unknown","MidCentral",3,"2002"
"243","Northland","Whanganui",6,"2002"
"244","Waitemata","Whanganui",9,"2002"
"245","Auckland","Whanganui",13,"2002"
"246","Counties Manukau","Whanganui",5,"2002"
"247","Waikato","Whanganui",9,"2002"
"248","Lakes","Whanganui",2,"2002"
"249","Bay of Plenty","Whanganui",14,"2002"
"250","Tairawhiti","Whanganui",1,"2002"
"251","Taranaki","Whanganui",33,"2002"
"252","Hawkes Bay","Whanganui",26,"2002"
"253","Mid Central","Whanganui",39,"2002"
"254","Whanganui","Whanganui",1936,"2002"
"255","Capital and Coast","Whanganui",29,"2002"
"256","Hutt","Whanganui",16,"2002"
"257","Wairarapa","Whanganui",3,"2002"
"258","Nelson Marlborough","Whanganui",3,"2002"
"259","West Coast","Whanganui",1,"2002"
"260","Canterbury","Whanganui",6,"2002"
"261","South Canterbury","Whanganui",0,"2002"
"262","Otago","Whanganui",1,"2002"
"263","Southland","Whanganui",1,"2002"
"264","Unknown","Whanganui",5,"2002"
"265","Northland","Capital and Coast",23,"2002"
"266","Waitemata","Capital and Coast",45,"2002"
"267","Auckland","Capital and Coast",67,"2002"
"268","Counties Manukau","Capital and Coast",32,"2002"
"269","Waikato","Capital and Coast",51,"2002"
"270","Lakes","Capital and Coast",19,"2002"
"271","Bay of Plenty","Capital and Coast",33,"2002"
"272","Tairawhiti","Capital and Coast",43,"2002"
"273","Taranaki","Capital and Coast",35,"2002"
"274","Hawkes Bay","Capital and Coast",189,"2002"
"275","Mid Central","Capital and Coast",191,"2002"
"276","Whanganui","Capital and Coast",145,"2002"
"277","Capital and Coast","Capital and Coast",5092,"2002"
"278","Hutt","Capital and Coast",775,"2002"
"279","Wairarapa","Capital and Coast",95,"2002"
"280","Nelson Marlborough","Capital and Coast",51,"2002"
"281","West Coast","Capital and Coast",3,"2002"
"282","Canterbury","Capital and Coast",44,"2002"
"283","South Canterbury","Capital and Coast",9,"2002"
"284","Otago","Capital and Coast",30,"2002"
"285","Southland","Capital and Coast",11,"2002"
"286","Unknown","Capital and Coast",10,"2002"
"287","Northland","Hutt Valley",2,"2002"
"288","Waitemata","Hutt Valley",7,"2002"
"289","Auckland","Hutt Valley",4,"2002"
"290","Counties Manukau","Hutt Valley",4,"2002"
"291","Waikato","Hutt Valley",9,"2002"
"292","Lakes","Hutt Valley",4,"2002"
"293","Bay of Plenty","Hutt Valley",5,"2002"
"294","Tairawhiti","Hutt Valley",1,"2002"
"295","Taranaki","Hutt Valley",2,"2002"
"296","Hawkes Bay","Hutt Valley",18,"2002"
"297","Mid Central","Hutt Valley",14,"2002"
"298","Whanganui","Hutt Valley",7,"2002"
"299","Capital and Coast","Hutt Valley",222,"2002"
"300","Hutt","Hutt Valley",2740,"2002"
"301","Wairarapa","Hutt Valley",19,"2002"
"302","Nelson Marlborough","Hutt Valley",4,"2002"
"303","West Coast","Hutt Valley",0,"2002"
"304","Canterbury","Hutt Valley",9,"2002"
"305","South Canterbury","Hutt Valley",2,"2002"
"306","Otago","Hutt Valley",0,"2002"
"307","Southland","Hutt Valley",4,"2002"
"308","Unknown","Hutt Valley",1,"2002"
"309","Northland","Wairarapa",3,"2002"
"310","Waitemata","Wairarapa",3,"2002"
"311","Auckland","Wairarapa",9,"2002"
"312","Counties Manukau","Wairarapa",3,"2002"
"313","Waikato","Wairarapa",6,"2002"
"314","Lakes","Wairarapa",0,"2002"
"315","Bay of Plenty","Wairarapa",2,"2002"
"316","Tairawhiti","Wairarapa",0,"2002"
"317","Taranaki","Wairarapa",2,"2002"
"318","Hawkes Bay","Wairarapa",12,"2002"
"319","Mid Central","Wairarapa",21,"2002"
"320","Whanganui","Wairarapa",2,"2002"
"321","Capital and Coast","Wairarapa",36,"2002"
"322","Hutt","Wairarapa",23,"2002"
"323","Wairarapa","Wairarapa",713,"2002"
"324","Nelson Marlborough","Wairarapa",4,"2002"
"325","West Coast","Wairarapa",1,"2002"
"326","Canterbury","Wairarapa",6,"2002"
"327","South Canterbury","Wairarapa",1,"2002"
"328","Otago","Wairarapa",1,"2002"
"329","Southland","Wairarapa",2,"2002"
"330","Unknown","Wairarapa",2,"2002"
"331","Northland","Nelson Marlborough",4,"2002"
"332","Waitemata","Nelson Marlborough",15,"2002"
"333","Auckland","Nelson Marlborough",8,"2002"
"334","Counties Manukau","Nelson Marlborough",5,"2002"
"335","Waikato","Nelson Marlborough",23,"2002"
"336","Lakes","Nelson Marlborough",2,"2002"
"337","Bay of Plenty","Nelson Marlborough",4,"2002"
"338","Tairawhiti","Nelson Marlborough",0,"2002"
"339","Taranaki","Nelson Marlborough",11,"2002"
"340","Hawkes Bay","Nelson Marlborough",12,"2002"
"341","Mid Central","Nelson Marlborough",7,"2002"
"342","Whanganui","Nelson Marlborough",4,"2002"
"343","Capital and Coast","Nelson Marlborough",47,"2002"
"344","Hutt","Nelson Marlborough",16,"2002"
"345","Wairarapa","Nelson Marlborough",6,"2002"
"346","Nelson Marlborough","Nelson Marlborough",4303,"2002"
"347","West Coast","Nelson Marlborough",39,"2002"
"348","Canterbury","Nelson Marlborough",88,"2002"
"349","South Canterbury","Nelson Marlborough",6,"2002"
"350","Otago","Nelson Marlborough",15,"2002"
"351","Southland","Nelson Marlborough",9,"2002"
"352","Unknown","Nelson Marlborough",2,"2002"
"353","Northland","West Coast",1,"2002"
"354","Waitemata","West Coast",3,"2002"
"355","Auckland","West Coast",2,"2002"
"356","Counties Manukau","West Coast",4,"2002"
"357","Waikato","West Coast",6,"2002"
"358","Lakes","West Coast",1,"2002"
"359","Bay of Plenty","West Coast",4,"2002"
"360","Tairawhiti","West Coast",0,"2002"
"361","Taranaki","West Coast",1,"2002"
"362","Hawkes Bay","West Coast",4,"2002"
"363","Mid Central","West Coast",2,"2002"
"364","Whanganui","West Coast",0,"2002"
"365","Capital and Coast","West Coast",3,"2002"
"366","Hutt","West Coast",1,"2002"
"367","Wairarapa","West Coast",0,"2002"
"368","Nelson Marlborough","West Coast",31,"2002"
"369","West Coast","West Coast",1455,"2002"
"370","Canterbury","West Coast",44,"2002"
"371","South Canterbury","West Coast",4,"2002"
"372","Otago","West Coast",10,"2002"
"373","Southland","West Coast",1,"2002"
"374","Unknown","West Coast",7,"2002"
"375","Northland","Canterbury",11,"2002"
"376","Waitemata","Canterbury",33,"2002"
"377","Auckland","Canterbury",53,"2002"
"378","Counties Manukau","Canterbury",26,"2002"
"379","Waikato","Canterbury",36,"2002"
"380","Lakes","Canterbury",12,"2002"
"381","Bay of Plenty","Canterbury",20,"2002"
"382","Tairawhiti","Canterbury",5,"2002"
"383","Taranaki","Canterbury",8,"2002"
"384","Hawkes Bay","Canterbury",25,"2002"
"385","Mid Central","Canterbury",12,"2002"
"386","Whanganui","Canterbury",11,"2002"
"387","Capital and Coast","Canterbury",70,"2002"
"388","Hutt","Canterbury",23,"2002"
"389","Wairarapa","Canterbury",3,"2002"
"390","Nelson Marlborough","Canterbury",121,"2002"
"391","West Coast","Canterbury",103,"2002"
"392","Canterbury","Canterbury",9017,"2002"
"393","South Canterbury","Canterbury",99,"2002"
"394","Otago","Canterbury",136,"2002"
"395","Southland","Canterbury",59,"2002"
"396","Unknown","Canterbury",68,"2002"
"397","Northland","South Canterbury",4,"2002"
"398","Waitemata","South Canterbury",6,"2002"
"399","Auckland","South Canterbury",7,"2002"
"400","Counties Manukau","South Canterbury",3,"2002"
"401","Waikato","South Canterbury",6,"2002"
"402","Lakes","South Canterbury",1,"2002"
"403","Bay of Plenty","South Canterbury",4,"2002"
"404","Tairawhiti","South Canterbury",0,"2002"
"405","Taranaki","South Canterbury",0,"2002"
"406","Hawkes Bay","South Canterbury",2,"2002"
"407","Mid Central","South Canterbury",5,"2002"
"408","Whanganui","South Canterbury",2,"2002"
"409","Capital and Coast","South Canterbury",3,"2002"
"410","Hutt","South Canterbury",4,"2002"
"411","Wairarapa","South Canterbury",1,"2002"
"412","Nelson Marlborough","South Canterbury",13,"2002"
"413","West Coast","South Canterbury",4,"2002"
"414","Canterbury","South Canterbury",157,"2002"
"415","South Canterbury","South Canterbury",1169,"2002"
"416","Otago","South Canterbury",58,"2002"
"417","Southland","South Canterbury",9,"2002"
"418","Unknown","South Canterbury",8,"2002"
"419","Northland","Otago",14,"2002"
"420","Waitemata","Otago",17,"2002"
"421","Auckland","Otago",29,"2002"
"422","Counties Manukau","Otago",6,"2002"
