"","course_code","course_name","domestic_fee","international_fee","start_date","end_date","points","link"
"3429","ANTA601-21X (C)","Antarctica: Contemporary Issues, Perspectives Part 1","$1,066.00","NULL","Monday, 8 November 2021","Sunday, 6 March 2022","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ANTA601&year=2021"
"3430","ANTA602","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ANTA602&year=2021"
"3431","ANTA603-21X (C)","Antarctic Field Work","$6,339.00","NULL","Monday, 8 November 2021","Sunday, 6 March 2022","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ANTA603&year=2021"
"3432","ANTA604","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ANTA604&year=2021"
"3433","ANTA607-21X (C)","Introduction to Antarctic Studies and Research","$2,131.00","NULL","Monday, 8 November 2021","Sunday, 13 February 2022","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ANTA607&year=2021"
"3434","ASTR109-21S1 (C)","The Cosmos: Birth and Evolution","$910.00","$4,438.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR109&occurrence=21S1(C)&year=2021"
"3435","ASTR109-21S1 (D)","The Cosmos: Birth and Evolution","$910.00","$4,438.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR109&occurrence=21S1(D)&year=2021"
"3436","ASTR112-21S1 (C)","Astrophysics","$910.00","$4,438.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR112&occurrence=21S1(C)&year=2021"
"3437","ASTR211-21S2 (C)","Observational Astronomy","$910.00","$4,438.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR211&occurrence=21S2(C)&year=2021"
"3438","ASTR231-21SU2 (C)","Observational Astronomy","$1,820.00","$8,875.00","Monday, 15 November 2021","Sunday, 13 February 2022","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR231&occurrence=21SU2(C)&year=2021"
"3439","ASTR323-21S2 (C)","Stellar Structure and Evolution","$910.00","$4,438.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR323&occurrence=21S2(C)&year=2021"
